rso_r_N,rso_v_N,inspector_r_N,inspector_v_N,r_DC_Hc,v_DC_Hc,inspector_sigma_BN,inspector_omega_BN_B,reward,dV_remaining
[-4179591.73314329 -5472913.92429252   585600.95407395],[-4166.18916626  2548.82474269 -5805.35442816],[-4179097.5541092  -5472313.07642256   585262.82170253],[-4164.96475761  2550.74913152 -5805.06446126],[-803.31417637  190.20674397  195.12126941],[-2.03101097  0.63679204 -0.45800858],[-0.36700757  0.02315723 -0.29901518],[0.15886784 0.04555283 0.12658859],-0.019836570711766206,31.64592197043638
[-4221000.11898956 -5447095.3321057    527513.08140892],[-4115.40480533  2614.84134124 -5812.10268761],[-4220492.00547051 -5446481.97135534   527159.12366415],[-4114.00539287  2616.10062754 -5813.68428677],[-820.75810088  207.91441932  206.89267142],[-1.73966773  1.7898536   1.17594156],[0.02978337 0.23954011 0.00135552],[0.19639405 0.13738688 0.09946591],0.01300196511777689,29.64592197043638
[-4261898.17559529 -5420618.1577791    469361.24992226],[-4064.12434936  2680.53984887 -5818.14607033],[-4261356.56185128 -5419996.1331854    468993.89535274],[-4060.76818003  2681.41444482 -5819.48463319],[-846.78923816  212.33268906  230.37412593],[-2.61336161  0.47039418  2.34682719],[ 0.69204896  0.14612741 -0.54849402],[ 0.21428414 -0.13346614 -0.0297744 ],0.05983557785690087,27.64592197043638
[-4302280.97304504 -5393485.62180953   411152.51190355],[-4012.35401516  2745.91235466 -5823.48388608],[-4301688.5565401  -5392859.19487944   410770.45199701],[-4007.26742592  2746.36114539 -5824.95312009],[-880.34177466  207.66688187  266.85316599],[-3.37600455 -0.42971987  3.64638799],[0.05733553 0.27302514 0.93531458],[-0.00372852 -0.12442947  0.13088601],0.1276630912056545,25.86693131915101
[-4342143.64388444 -5365701.02360364   352893.92611827],[-3960.10007801  2810.95098771 -5828.11552992],[-4341495.23190892 -5365089.29653627   352498.85613198],[-3954.49416044  2809.48991125 -5829.41504782],[-902.44044703  192.66123386  314.9782176 ],[-2.24248203 -1.47623372  4.81071714],[-0.29810783  0.48004084 -0.50326385],[-0.29291351  0.11258267  0.09625006],0.1448735955961583,23.86693131915101
[-4381481.38370144 -5337267.74107256   294592.55695441],[-3907.36887094  2875.64791819 -5832.0404823 ],[-4380787.95532453 -5336677.00478062   294169.1859449 ],[-3902.86089036  2873.55800821 -5834.86882865],[-913.80553752  193.18261537  369.72315173],[-1.15239481  0.06462603  5.47238236],[-0.05816903 -0.49993181  0.07558047],[-0.02438929  0.13592637 -0.02523448],0.14797652072169276,21.86693131915101
[-4420289.45169957 -5308189.23021672   236255.47356854],[-3854.16678393  2939.99535824 -5835.25830907],[-4419555.83163474 -5307615.37888339   235817.87198099],[-3850.14130566  2938.31622642 -5836.67936363],[-924.85305007  187.1965768   410.61317455],[-1.12798187 -0.58643699  4.08661229],[ 0.05657777 -0.30454149  0.33920932],[ 0.22818078 -0.06669061  0.11608157],0.10159191535550302,20.32799672825655
[-4458563.17126327 -5278469.02470099   177889.74903149],[-3800.50026304  3003.98556299 -5837.76866154],[-4457801.14740355 -5277920.13466293   177424.18321747],[-3797.65365034  3001.49889201 -5840.5627986 ],[-922.72214248  194.74138306  457.57163958],[0.20461752 0.75213252 4.69318064],[-0.6319262  -0.49471718 -0.55022676],[ 0.22755242 -0.12411812 -0.03844492],0.11718968961813753,18.32799672825655
[-4496297.93051501 -5248110.73542011   119502.45947372],[-3746.37580966  3067.61083149 -5839.57127646],[-4495519.83222249 -5247577.11481762   119012.29950315],[-3744.76219472  3066.09334824 -5842.02810742],[-919.81726373  209.67532169  490.3235236 ],[0.29016966 1.49017076 3.27229236],[-0.54499438 -0.50052508  0.51950627],[ 0.24059743 -0.11294729 -0.04777214],0.06947929510727319,16.72665940181633
[-4533489.18286424 -5217118.05005454    61100.68323058],[-3691.79997967  3130.86350771 -5840.66597609],[-4532705.91719241 -5216593.54057939    60570.4043235 ],[-3691.27708795  3129.96178463 -5844.67493039],[-914.3275189   244.36905702  523.54557934],[0.57041602 3.46323955 3.31910591],[-0.0056709   0.54295401  0.54652546],[0.24103479 0.10215592 0.12682415],0.12039677592417805,14.726659401816331
[-4.57013245e+06 -5.18549473e+06  2.69149999e+03],[-3636.77938259  3193.73598141 -5841.05266816],[-4.56935292e+06 -5.18496544e+06  2.12573427e+03],[-3637.14729706  3194.22354563 -5844.59804394],[-912.71893749  285.52196722  541.59110688],[0.1894564  4.11339688 1.80130925],[-0.16541997 -0.19669583 -0.10421966],[-0.05635049  0.30983623  0.1333232 ],0.10989262774193813,13.022689465204659
[-4606223.31016348 -5153244.62298869   -55718.01007431],[-3581.32068073  3256.22068917 -5840.73134584],[-4605435.32158908 -5152719.9109042    -56331.95666149],[-3580.46800955  3255.7718436  -5845.54572065],[-911.36786691  326.65821475  579.55344776],[0.16371396 4.11202031 3.79279575],[ 0.31788607  0.74116759 -0.48103003],[ 0.2336354   0.30458846 -0.06093076],0.14891909078696874,11.022689465204659
[-4641757.42319123 -5120371.63644834  -114120.76713303],[-3525.43058838  3318.31011525 -5839.70208773],[-4640965.32477305 -5119849.18871053  -114779.26690042],[-3525.01333044  3318.09276898 -5844.15327637],[-908.0750885   368.03834379  611.50707079],[0.35819252 4.1342847  3.19171187],[-0.22257446 -0.09615995  0.0829411 ],[-0.03742097  0.1158437  -0.04113103],0.15046076426457095,10.412587926057405
[-4676730.50651108 -5086879.76318918  -172509.6925794 ],[-3469.11587092  3379.99679252 -5837.9650578 ],[-4675927.59933277 -5086355.15631431  -173206.57418137],[-3468.02867204  3380.22172965 -5841.79872611],[-911.92572952  403.5450139   641.13895756],[-0.36259281  3.55481123  2.95934631],[-0.51639912  0.00425132  0.18742792],[-0.03390921 -0.10503118  0.13215723],0.12400548258923606,9.421405853443613
[-4711138.34790854 -5052773.06782887  -230877.70987068],[-3412.38334398  3441.27330339 -5835.52050536],[-4710334.30583402 -5052252.61095378  -231616.92952937],[-3412.26352712  3440.86720215 -5839.74940953],[-903.7680777   443.70258758  670.92175081],[0.84336773 4.00671493 2.97424812],[-0.25980886  0.42741668  0.59667622],[-0.02029829 -0.11006801  0.1288314 ],0.13805576971701414,8.178224857695552
[-4744976.80357289 -5018055.68890961  -289217.74538341],[-3355.23987253  3502.13228069 -5832.36876494],[-4744169.33844953 -5017547.71095737  -290004.77608427],[-3354.89132318  3500.89310672 -5837.14455799],[-890.13461917  483.07339736  709.76003131],[1.39027749 3.92204326 3.87956968],[ 0.07047876 -0.14119111  0.92415424],[-0.26688978  0.01376178 -0.00703071],0.1625914837352366,7.1385705301865405
[-4778241.7985865  -4982731.83838936  -347522.72926549],[-3297.69237007  3562.5664086  -5828.51025626],[-4777433.04585779 -4982234.59211045  -348362.17289812],[-3297.55748009  3561.50175523 -5833.74580494],[-875.29901629  527.47928611  749.41155934],[1.51627451 4.42422404 3.96064449],[-0.60040051 -0.49679719  0.46785265],[-0.01134216  0.22371354  0.171122  ],0.18206027020019094,6.592886233531923
[-4810929.32740533 -4946805.80112431  -405785.59628745],[-3239.74779768  3622.56842344 -5823.94548412],[-4810130.49006613 -4946312.54675481  -406662.21693574],[-3240.73330663  3622.17748174 -5827.65706715],[-857.51778011  567.91770286  769.43971052],[1.80677742 4.02427405 1.99813258],[-0.58735857  0.4543166  -0.00965553],[0.18943754 0.05683585 0.17739633],0.12279970992414643,4.592886233531923
[-4843035.45433065 -4910281.93434253  -463999.2866926 ],[-3181.41316318  3682.13111464 -5818.67503826],[-4842227.17777562 -4909797.86479053  -464914.11606203],[-3180.46330693  3681.22069142 -5822.48944373],[-848.75832098  598.18339935  803.94839951],[0.89368722 3.01695583 3.44599244],[-0.18741364  0.40352485 -0.03269788],[-0.03990602 -0.12139254  0.00373088],0.11620680434468258,2.5928862335319227
[-4874556.31397183 -4873164.66710906  -522156.74704617],[-3122.69552023  3741.24732554 -5812.69959328],[-4873733.27872897 -4872695.00448046  -523107.67657677],[-3121.21384025  3739.81456932 -5816.30280124],[-839.66726093  621.94104431  842.8435182 ],[0.91986847 2.36582893 3.88439479],[-0.00533742 -0.22715492 -0.06805192],[ 0.19329721 -0.32985935 -0.15762432],0.12795070916711965,1.8187091348918374
[-4905488.11170017 -4835458.49978248  -580250.93108307],[-3063.60196741  3799.90995422 -5806.01990852],[-4904645.14778251 -4834999.52192991  -581243.67906646],[-3061.60340172  3798.84933067 -5810.19458299],[-835.95004394  649.72521581  886.47733312],[0.38702506 2.77438017 4.35799589],[-0.16352456  0.21110996 -0.0718368 ],[ 0.19525078 -0.2987296  -0.01864082],0.14802041668554308,0.966927375335184
[-4935827.12409384 -4797168.00346306  -638274.80055443],[-3004.13964735  3858.1119544  -5798.63682785],[-4934970.5821698  -4796712.6602039   -639311.26738707],[-3002.77622818  3857.75625088 -5803.00115944],[-831.90645926  685.0541832   924.06572038],[0.42801181 3.52849126 3.75319789],[ 0.20638603 -0.58371059  0.14143182],[ 0.20184192 -0.36645104 -0.02439434],-0.8531865465752589,-1.1102230246251565e-16
[-5387177.44706182  4198986.37867154 -2856684.53939812],[-2893.89436829 -5918.23894925 -3220.90799881],[-5386673.65825878  4199140.41566349 -2856334.89971242],[-2893.49258993 -5918.32457605 -3218.77016373],[-414.12234032 -477.15538166  -24.57420961],[-1.63840404 -0.61955031  1.52305003],[0.43277872 0.41950371 0.56746723],[ 8.98108730e-05 -6.57202689e-05 -9.62202064e-05],-0.0239207229013754,48.0
[-5415851.27326056  4139598.684243   -2888752.41799028],[-2840.8238093  -5959.20277722 -3192.61502147],[-5415348.57586775  4139743.36294901 -2888393.60151008],[-2840.93086951 -5960.14283435 -3191.69666089],[-426.8429028  -469.00692636  -14.95000125],[-1.27018076  0.82746248  0.96215636],[0.8227209  0.45437613 0.03962448],[ 0.24287805 -0.13218377  0.0921908 ],-0.06632116262293414,46.42863548963867
[-5443992.99065449  4079804.27298605 -2920535.79049814],[-2787.47347281 -5999.58164994 -3164.00724524],[-5443503.48154642  4079926.7232803  -2920168.91322652],[-2788.79003067 -6001.80867261 -3163.20043453],[-437.19882942 -445.04162998    2.7027778 ],[-1.01822296  2.40674624  1.76494226],[-0.0186941  -0.14499585  0.08095471],[ 0.27651481 -0.18791375 -0.05187527],0.036414794808544315,44.66192786400186
[-5471599.82747757  4019609.01430842 -2952031.52288235],[-2733.84856507 -6039.37160581 -3135.08746509],[-5471114.66532866  4019711.40688768 -2951650.32874479],[-2734.28076408 -6041.38152786 -3133.65498976],[-454.97172131 -428.68615195   20.11063045],[-1.76765808  1.65312327  1.74037851],[ 0.36841152 -0.41530499  0.53550188],[ 0.09872855 -0.05671488  0.18914342],0.03239149974694749,43.56022876395029
[-5498669.06415963  3959018.81695    -2983236.50920464],[-2679.95431893 -6078.56874007 -3105.85850623],[-5498201.93952566  3959097.50919334 -2982842.88944633],[-2681.75535584 -6080.94285188 -3104.61512252],[-463.47970001 -403.18900913   44.26734173],[-0.83231299  2.55806987  2.41516602],[ 0.15165729  0.30565543 -0.42139095],[0.00047756 0.0638111  0.16880561],0.06616250633916237,42.12791132015131
[-5525198.0335893   3898039.6284123  -3014147.67192884],[-2625.79599322 -6117.1692052  -3076.32322381],[-5524739.24815814  3898107.26680187 -3013740.44485911],[-2626.62701975 -6118.27860742 -3074.96165408],[-472.58726398 -392.08566878   61.83054396],[-0.90665829  1.11931199  1.75573473],[0.1292617  0.50814521 0.06124923],[-0.07961232  0.18073921 -0.02155921],-0.024270370715372754,40.52687503149802
[-5551184.12137206  3836677.43438444 -3044761.96221914],[-2571.37887238 -6155.16921125 -3046.48450271],[-5550742.70950038  3836745.83295032 -3044330.88106639],[-2573.11320402 -6155.09716238 -3044.09830815],[-472.83722671 -391.83611788   90.79195055],[-0.03172601  0.02518055  2.89543706],[-0.04003174 -0.88993795  0.20617677],[0.14170575 0.23505639 0.0466172 ],0.01954273613891377,38.71355794995533
[-5576624.76608325  3774938.25816562 -3075076.36023567],[-2516.70826589 -6192.56502623 -3016.34525721],[-5576219.26354776  3775009.89446923 -3074614.50936036],[-2520.29609259 -6192.24511543 -3013.26765859],[-460.77553162 -390.17947143  135.33730766],[1.20090972 0.15366569 4.45363545],[-0.10919987 -0.06206855 -0.2481124 ],[-0.09566596  0.2453695  -0.20538807],0.10816162035323454,36.71355794995533
[-5601517.45951631  3712828.16008399 -3105087.87542732],[-2461.78950779 -6229.3529764  -2985.90843072],[-5601146.22359503  3712897.47377339 -3104613.46719082],[-2465.21302831 -6229.5889341  -2984.65222107],[-445.1217631  -377.20763812  165.12021499],[1.57152643 1.28155121 2.97721772],[-0.37704822 -0.10816312  0.68601287],[ 0.1546622   0.13680782 -0.16071865],0.06052757048302024,34.80389828428095
[-5625859.74692588  3650353.23691222 -3134793.54682173],[-2406.62795619 -6265.52944664 -2955.17699553],[-5625525.36907987  3650418.32072859 -3134308.96992598],[-2410.31061538 -6265.95593152 -2954.15979016],[-427.21776524 -361.13942917  194.73702451],[1.79986192 1.5889228  2.96046925],[-0.57874681  0.13609116  0.03113477],[-0.0954002   0.13731351  0.00318935],0.08673831489197804,34.40192321218009
[-5649649.22726606  3587519.62127954 -3164190.44331255],[-2351.22899279 -6301.09088081 -2924.15395251],[-5649341.03826879  3587573.52906824 -3163699.54947917],[-2353.84469138 -6302.21180093 -2923.52200353],[-418.90373625 -341.39275816  216.41143178],[0.84471004 1.96623044 2.16611955],[ 0.68650877 -0.25306937 -0.11649339],[-0.08338289 -0.12587942  0.06702766],0.03368373916756392,33.08029160680594
[-5672883.55342357  3524333.48108055 -3193275.6639438 ],[-2295.59802235 -6336.03378205 -2892.84233082],[-5672609.92163285  3524380.50514289 -3192772.50206382],[-2299.05052134 -6336.72529035 -2891.61537622],[-404.35232569 -325.27608794  246.88491271],[1.46501556 1.59704257 3.04590496],[-0.37031442  0.284395    0.34588652],[ 0.18655275 -0.10647291 -0.18524498],0.07550364056450347,31.96022721692016
[-5695560.43244591  3460801.01888064 -3222046.33819144],[-2239.74047217 -6370.3547131  -2861.24518763],[-5695339.36682044  3460833.57303367 -3221526.81717537],[-2244.99385017 -6371.80458819 -2859.6093051 ],[-380.99573456 -298.97724756  292.0389109 ],[2.3558929  2.60647428 4.51376927],[-0.35156774 -0.04635933 -0.28869215],[-0.12906655  0.10010255 -0.19744031],0.15027178416882106,29.96022721692016
[-5717677.62576453  3396928.47131822 -3250499.62624208],[-2183.66179165 -6404.05029667 -2829.36560786],[-5717522.1313199   3396933.47319267 -3249971.46044978],[-2190.21567769 -6406.80805098 -2828.50137938],[-349.73128623 -254.89244415  340.41227147],[3.16469546 4.37713555 4.83549224],[ 0.53651355 -0.37131935  0.45114542],[-0.147536   -0.09100364  0.04818021],0.19727053107142528,27.96022721692016
[-5739232.94941287  3332722.10850375 -3278632.71926869],[-2127.36745171 -6437.11721571 -2797.20670382],[-5739142.35305042  3332703.66516814 -3278093.19152409],[-2133.85405595 -6439.46388235 -2796.07099716],[-317.51041161 -216.29577248  389.9247646 ],[3.25536864 3.82734656 4.94919881],[-0.29668625  0.44332553 -0.1682504 ],[ 0.20533059 -0.1077822   0.01416912],0.207021882414294,27.459693112462805
[-5760224.27423936  3268188.23341552 -3306442.83970357],[-2070.86294434 -6469.55221374 -2764.771615  ],[-5760195.67177702  3268160.90495185 -3305881.56165108],[-2077.05917782 -6470.44255047 -2762.59735784],[-285.03433229 -195.94586641  443.80023078],[3.26328811 2.00242904 5.38526908],[-0.16286577  0.1289827  -0.11323097],[-0.07746225 -0.02091187 -0.03263924],0.18075157481548787,25.644729193326345
[-5780649.52611534  3203333.18129246 -3333927.24150821],[-2014.15378204 -6501.35209517 -2732.06350771],[-5780684.75543017  3203295.82791675 -3333341.17323723],[-2020.53385251 -6502.35611679 -2729.58557543],[-252.61680066 -175.87925934  501.36178126],[3.25763062 1.97410579 5.75361584],[ 0.6164103  -0.6806115   0.30476605],[-0.33836443  0.21268759  0.05529521],0.20403388700274616,25.26813549286913
[-5800506.68613778  3138163.31902377 -3361083.21044032],[-1957.24549736 -6532.51372557 -2699.08557483],[-5800605.88008125  3138122.79241177 -3360461.2025835 ],[-1963.63888855 -6532.83232207 -2695.49305942],[-221.88676383 -166.64818643  566.89528543],[3.07861159 0.89220366 6.55051737],[-0.32244095  0.01670107 -0.59410233],[-0.37105644 -0.00159905 -0.0672199 ],0.20561251332447383,23.95578790150569
[-5819793.79082695  3072685.04453563 -3387908.06431781],[-1900.14364233 -6563.03403204 -2665.84103548],[-5819944.87785122  3072633.72802584 -3387246.21014944],[-1905.32983926 -6564.11409359 -2661.85816744],[-205.44302115 -155.79469297  630.10538164],[1.651948   1.06853224 6.31786812],[ 0.20778001 -0.63378814  0.20813097],[-0.16602201 -0.02099572 -0.04060802],0.18483030711509563,22.481361581492425
[-5838508.93231888  3006904.78617489 -3414399.15327976],[-1842.85378798 -6592.91000339 -2632.33313472],[-5838713.50903175  3006844.12061462 -3413691.73201254],[-1848.19956268 -6593.84580798 -2627.77850041],[-189.60206391 -148.23143993  698.60953941],[1.58864674 0.74005462 6.84695397],[-0.46444971  0.5860373   0.16895602],[ 0.12516085 -0.23015126 -0.16349768],0.2067519012543678,21.864562305114166
[-5856650.25855267  2940829.00208989 -3440553.86004446],[-1785.3815238  -6622.13869056 -2598.56514326],[-5856904.01032297  2940759.47368988 -3439810.74335456],[-1790.29577457 -6623.02570517 -2594.9979733 ],[-172.26532354 -138.98641762  756.60690465],[1.74013368 0.90667665 5.79597738],[ 0.08549119 -0.24507628  0.02396606],[ 0.15708209 -0.23556223 -0.04041524],0.17386343810602436,20.792598812811004
[-5874215.97345255  2874464.17960836 -3466369.60016422],[-1727.73245724 -6650.71720678 -2564.54035716],[-5874503.62101101  2874386.05338305 -3465601.68109053],[-1731.11873222 -6651.57757994 -2562.06271014],[-161.68769414 -130.13984186  797.1607365 ],[1.06403826 0.8734724  4.05140287],[ 0.21349658 -0.9417187   0.22494657],[ 0.16582685 -0.22382402  0.14980391],0.09622042459904802,18.924092433025933
[-5891204.33710475  2807816.83461259 -3491843.8222773 ],[-1669.91221317 -6678.64272795 -2530.26209751],[-5891536.63003583  2807728.98055528 -3491045.40496034],[-1674.37340592 -6679.61595355 -2527.21509615],[-145.51270998 -119.99700492  848.54811855],[1.62525014 0.99750455 5.13452956],[ 0.09829612 -0.23508779 -0.28963999],[ 0.1711407  -0.2329687   0.03194362],0.15093536639491326,17.694092488872176
[-5907613.66592917  2740893.51091179 -3516974.00835665],[-1611.92643336 -6705.91249284 -2495.73371009],[-5907982.27871539  2740793.745516   -3516139.01010146],[-1615.55498674 -6707.10394246 -2492.07866726],[-139.49849977 -112.10568612  900.56820409],[0.60711266 0.78237542 5.19755308],[-0.10814195  0.87398554  0.03714823],[ 0.23972899 -0.23070539  0.04917053],0.1463089234404026,16.642245640248444
[-5923442.33284569  2673700.77961175 -3541757.67395548],[-1553.78077595 -6732.5238034  -2460.95856512],[-5923848.99384076  2673597.04927513 -3540884.05567709],[-1557.58207283 -6732.92051752 -2457.09985178],[-130.06491469 -111.95209951  953.88253437],[9.41492429e-01 5.18468477e-03 5.32672353e+00],[ 0.16540926 -0.32751761 -0.43345662],[ 0.24197482 -0.23185648 -0.02447116],0.15305445003440882,15.800321893729896
